period,community_id,community_name,collection_family,opening_count,added,withdrawn,transferred_in,transferred_out,closing_count,quality_note
2025-10,ASTR,Aster Hollow,adult_print,11792,15,130,0,0,11677,
2025-10,ASTR,Aster Hollow,youth_print,7417,59,89,0,0,7387,
2025-10,ASTR,Aster Hollow,audio_video,3192,33,18,0,0,3207,
2025-10,ASTR,Aster Hollow,community_kits,397,4,1,0,0,400,
2025-10,BRYK,Bryn Creek,adult_print,17376,195,138,0,0,17433,
2025-10,BRYK,Bryn Creek,youth_print,10463,40,124,0,0,10379,
2025-10,BRYK,Bryn Creek,audio_video,4071,2,18,13,0,4068,
2025-10,BRYK,Bryn Creek,community_kits,651,9,2,0,0,658,
2025-10,CIRR,Cirrus Landing,adult_print,12909,5,148,0,0,12766,
2025-10,CIRR,Cirrus Landing,youth_print,9339,59,10,11,0,9399,
2025-10,CIRR,Cirrus Landing,audio_video,3741,14,22,0,13,3720,
2025-10,CIRR,Cirrus Landing,community_kits,522,2,6,4,0,522,
2025-10,DRFT,Driftwood Vale,adult_print,19553,56,106,20,0,19523,
2025-10,DRFT,Driftwood Vale,youth_print,13331,165,148,0,0,13348,
2025-10,DRFT,Driftwood Vale,audio_video,4883,54,6,0,13,4918,
2025-10,DRFT,Driftwood Vale,community_kits,744,2,7,0,0,739,
2025-10,ECHO,Echo Meadow,adult_print,11365,12,4,0,0,11373,
2025-10,ECHO,Echo Meadow,youth_print,7280,23,57,5,11,7240,
2025-10,ECHO,Echo Meadow,audio_video,3073,36,22,0,0,3087,
2025-10,ECHO,Echo Meadow,community_kits,384,5,0,16,0,405,
2025-10,FERN,Fernhaven,adult_print,16951,113,203,0,15,16846,
2025-10,FERN,Fernhaven,youth_print,10289,114,131,0,0,10272,
2025-10,FERN,Fernhaven,audio_video,4369,6,54,13,0,4334,
2025-10,FERN,Fernhaven,community_kits,542,8,7,0,0,543,
2025-10,GOLD,Goldleaf Quay,adult_print,17554,34,67,0,5,17516,
2025-10,GOLD,Goldleaf Quay,youth_print,11948,166,55,0,5,12054,
2025-10,GOLD,Goldleaf Quay,audio_video,5031,28,35,0,0,5024,
2025-10,GOLD,Goldleaf Quay,community_kits,695,1,4,0,4,688,
2025-10,HUSH,Hush River,adult_print,13342,148,133,0,0,13357,
2025-10,HUSH,Hush River,youth_print,8159,13,77,0,0,8095,
2025-10,HUSH,Hush River,audio_video,3112,20,4,0,0,3128,
2025-10,HUSH,Hush River,community_kits,480,1,3,0,16,462,
2025-10,INDI,Indigo Point,adult_print,14684,157,165,0,0,14676,
2025-10,INDI,Indigo Point,youth_print,9329,75,49,0,0,9355,
2025-10,INDI,Indigo Point,audio_video,3818,51,2,0,0,3867,
2025-10,INDI,Indigo Point,community_kits,0,0,0,0,0,0,
2025-11,ASTR,Aster Hollow,adult_print,11677,149,144,0,0,11682,
2025-11,ASTR,Aster Hollow,youth_print,7387,30,94,0,0,7323,
2025-11,ASTR,Aster Hollow,audio_video,3207,2,4,0,0,3205,
2025-11,ASTR,Aster Hollow,community_kits,400,5,4,0,0,401,
2025-11,BRYK,Bryn Creek,adult_print,17433,104,163,0,0,17374,
2025-11,BRYK,Bryn Creek,youth_print,10379,56,24,0,0,10411,
2025-11,BRYK,Bryn Creek,audio_video,4068,15,31,0,0,4052,
2025-11,BRYK,Bryn Creek,community_kits,658,7,5,0,0,660,
2025-11,CIRR,Cirrus Landing,adult_print,12766,27,11,11,0,12793,
2025-11,CIRR,Cirrus Landing,youth_print,9399,127,0,3,0,9529,
2025-11,CIRR,Cirrus Landing,audio_video,3720,52,14,8,2,3764,
2025-11,CIRR,Cirrus Landing,community_kits,522,1,3,0,0,520,
2025-11,DRFT,Driftwood Vale,adult_print,19523,34,119,0,0,19438,
2025-11,DRFT,Driftwood Vale,youth_print,13348,102,74,0,0,13376,
2025-11,DRFT,Driftwood Vale,audio_video,4918,21,54,0,0,4885,
2025-11,DRFT,Driftwood Vale,community_kits,739,9,2,0,0,746,
2025-11,ECHO,Echo Meadow,adult_print,11373,145,111,0,0,11407,
2025-11,ECHO,Echo Meadow,youth_print,7240,12,48,9,0,7213,
2025-11,ECHO,Echo Meadow,audio_video,3087,42,34,2,0,3097,
2025-11,ECHO,Echo Meadow,community_kits,405,5,4,17,0,423,
2025-11,FERN,Fernhaven,adult_print,16846,148,194,17,0,16817,
2025-11,FERN,Fernhaven,youth_print,10272,48,63,0,9,10248,
2025-11,FERN,Fernhaven,audio_video,4334,48,52,0,0,4330,
2025-11,FERN,Fernhaven,community_kits,543,2,0,0,17,528,
2025-11,GOLD,Goldleaf Quay,adult_print,17516,118,88,0,17,17529,
2025-11,GOLD,Goldleaf Quay,youth_print,12054,13,54,0,0,12013,
2025-11,GOLD,Goldleaf Quay,audio_video,5024,56,47,0,0,5033,
2025-11,GOLD,Goldleaf Quay,community_kits,688,0,0,0,13,675,
2025-11,HUSH,Hush River,adult_print,13357,164,90,0,0,13431,
2025-11,HUSH,Hush River,youth_print,8095,100,12,0,0,8183,
2025-11,HUSH,Hush River,audio_video,3128,33,2,0,0,3159,
2025-11,HUSH,Hush River,community_kits,462,3,0,0,0,465,
2025-11,INDI,Indigo Point,adult_print,14676,104,18,0,11,14751,
2025-11,INDI,Indigo Point,youth_print,9355,115,2,0,3,9465,
2025-11,INDI,Indigo Point,audio_video,3867,47,2,0,8,3904,
