period,reported_total,added,withdrawn,transferred_in,transferred_out,missing_closings,issue_count,status
2025-10,262466,1725,2045,82,82,0,0,complete
2025-11,262916,2017,1567,80,80,0,0,complete
2025-12,263217,2116,1815,92,92,0,0,complete
2026-01,263745,2120,1592,67,67,0,0,complete
2026-02,263604,1448,,95,95,0,1,provisional
2026-03,263467,1494,1631,76,76,0,0,complete
2026-04,,,,,,4,8,incomplete
2026-05,263477,1811,1909,84,84,0,0,complete
2026-06,263375,1873,1975,84,84,0,0,complete
2026-07,263606,2107,1876,88,88,0,0,complete
2026-08,263549,1793,1850,69,69,0,0,complete
2026-09,264019,2099,1648,80,80,0,1,provisional
