period_date,period,community_id,community_name,collection_family,opening_count,added,withdrawn,transferred_in,transferred_out,closing_count,expected_closing,reconciliation_delta,data_status,quality_note,is_latest
2025-10-01,2025-10,ASTR,Aster Hollow,adult_print,11792,15,130,0,0,11677,11677,0,Complete,,FALSE
2025-10-01,2025-10,ASTR,Aster Hollow,youth_print,7417,59,89,0,0,7387,7387,0,Complete,,FALSE
2025-10-01,2025-10,ASTR,Aster Hollow,audio_video,3192,33,18,0,0,3207,3207,0,Complete,,FALSE
2025-10-01,2025-10,ASTR,Aster Hollow,community_kits,397,4,1,0,0,400,400,0,Complete,,FALSE
2025-10-01,2025-10,BRYK,Bryn Creek,adult_print,17376,195,138,0,0,17433,17433,0,Complete,,FALSE
2025-10-01,2025-10,BRYK,Bryn Creek,youth_print,10463,40,124,0,0,10379,10379,0,Complete,,FALSE
2025-10-01,2025-10,BRYK,Bryn Creek,audio_video,4071,2,18,13,0,4068,4068,0,Complete,,FALSE
2025-10-01,2025-10,BRYK,Bryn Creek,community_kits,651,9,2,0,0,658,658,0,Complete,,FALSE
2025-10-01,2025-10,CIRR,Cirrus Landing,adult_print,12909,5,148,0,0,12766,12766,0,Complete,,FALSE
2025-10-01,2025-10,CIRR,Cirrus Landing,youth_print,9339,59,10,11,0,9399,9399,0,Complete,,FALSE
2025-10-01,2025-10,CIRR,Cirrus Landing,audio_video,3741,14,22,0,13,3720,3720,0,Complete,,FALSE
2025-10-01,2025-10,CIRR,Cirrus Landing,community_kits,522,2,6,4,0,522,522,0,Complete,,FALSE
2025-10-01,2025-10,DRFT,Driftwood Vale,adult_print,19553,56,106,20,0,19523,19523,0,Complete,,FALSE
2025-10-01,2025-10,DRFT,Driftwood Vale,youth_print,13331,165,148,0,0,13348,13348,0,Complete,,FALSE
2025-10-01,2025-10,DRFT,Driftwood Vale,audio_video,4883,54,6,0,13,4918,4918,0,Complete,,FALSE
2025-10-01,2025-10,DRFT,Driftwood Vale,community_kits,744,2,7,0,0,739,739,0,Complete,,FALSE
2025-10-01,2025-10,ECHO,Echo Meadow,adult_print,11365,12,4,0,0,11373,11373,0,Complete,,FALSE
2025-10-01,2025-10,ECHO,Echo Meadow,youth_print,7280,23,57,5,11,7240,7240,0,Complete,,FALSE
2025-10-01,2025-10,ECHO,Echo Meadow,audio_video,3073,36,22,0,0,3087,3087,0,Complete,,FALSE
2025-10-01,2025-10,ECHO,Echo Meadow,community_kits,384,5,0,16,0,405,405,0,Complete,,FALSE
2025-10-01,2025-10,FERN,Fernhaven,adult_print,16951,113,203,0,15,16846,16846,0,Complete,,FALSE
2025-10-01,2025-10,FERN,Fernhaven,youth_print,10289,114,131,0,0,10272,10272,0,Complete,,FALSE
2025-10-01,2025-10,FERN,Fernhaven,audio_video,4369,6,54,13,0,4334,4334,0,Complete,,FALSE
2025-10-01,2025-10,FERN,Fernhaven,community_kits,542,8,7,0,0,543,543,0,Complete,,FALSE
2025-10-01,2025-10,GOLD,Goldleaf Quay,adult_print,17554,34,67,0,5,17516,17516,0,Complete,,FALSE
2025-10-01,2025-10,GOLD,Goldleaf Quay,youth_print,11948,166,55,0,5,12054,12054,0,Complete,,FALSE
2025-10-01,2025-10,GOLD,Goldleaf Quay,audio_video,5031,28,35,0,0,5024,5024,0,Complete,,FALSE
2025-10-01,2025-10,GOLD,Goldleaf Quay,community_kits,695,1,4,0,4,688,688,0,Complete,,FALSE
2025-10-01,2025-10,HUSH,Hush River,adult_print,13342,148,133,0,0,13357,13357,0,Complete,,FALSE
2025-10-01,2025-10,HUSH,Hush River,youth_print,8159,13,77,0,0,8095,8095,0,Complete,,FALSE
2025-10-01,2025-10,HUSH,Hush River,audio_video,3112,20,4,0,0,3128,3128,0,Complete,,FALSE
2025-10-01,2025-10,HUSH,Hush River,community_kits,480,1,3,0,16,462,462,0,Complete,,FALSE
2025-10-01,2025-10,INDI,Indigo Point,adult_print,14684,157,165,0,0,14676,14676,0,Complete,,FALSE
2025-10-01,2025-10,INDI,Indigo Point,youth_print,9329,75,49,0,0,9355,9355,0,Complete,,FALSE
2025-10-01,2025-10,INDI,Indigo Point,audio_video,3818,51,2,0,0,3867,3867,0,Complete,,FALSE
