period_date,period,reported_total,change_from_previous,added,withdrawn,missing_closings,issue_count,reporting_status
2025-10-01,2025-10,262466,,1725,2045,0,0,complete
2025-11-01,2025-11,262916,450,2017,1567,0,0,complete
2025-12-01,2025-12,263217,301,2116,1815,0,0,complete
2026-01-01,2026-01,263745,528,2120,1592,0,0,complete
2026-02-01,2026-02,263604,-141,1448,,0,1,provisional
2026-03-01,2026-03,263467,-137,1494,1631,0,0,complete
2026-04-01,2026-04,,,,,4,8,incomplete
2026-05-01,2026-05,263477,,1811,1909,0,0,complete
2026-06-01,2026-06,263375,-102,1873,1975,0,0,complete
2026-07-01,2026-07,263606,231,2107,1876,0,0,complete
2026-08-01,2026-08,263549,-57,1793,1850,0,0,complete
2026-09-01,2026-09,264019,470,2099,1648,0,1,provisional
